QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption
Prompt ใดเหมาะกับการเริ่มต้น prototype,สร้างระบบ HR ทั้งหมดเดี๋ยวนี้,ช่วยวางแผนและ acceptance criteria สำหรับฟอร์มขอลางานก่อนเขียนโค้ด,เขียนโค้ดโดยไม่ถามอะไร,ดึงข้อมูลพนักงานจริงมาใช้ทันที,B
เมื่อ requirement ยังคลุมเครือ ขั้นตอนแรกคืออะไร,เดาความต้องการแล้วเขียนโค้ด,ถามคำถามเพื่อทำให้ user flow และผลลัพธ์ชัดเจน,เพิ่ม feature ให้มากที่สุด,ข้ามขั้นตอน discovery,B
ข้อใดเป็นตัวอย่างของ validation ที่ควรมีใน form,ปล่อยให้ส่งข้อมูลว่างได้,ตรวจรูปแบบข้อมูลและแสดงข้อความแก้ไขที่เข้าใจง่าย,ซ่อนปุ่มส่งเสมอ,ไม่แจ้ง error ให้ผู้ใช้,B
เหตุใดจึงควรตรวจ diff ก่อน merge โค้ดจาก AI,เพื่อดูว่ามีการเปลี่ยนแปลงที่ไม่ตั้งใจหรือเสี่ยงต่อระบบหรือไม่,เพื่อเพิ่มจำนวนไฟล์,เพื่อให้ AI ทำงานช้าลง,เพื่อไม่ต้องทดสอบ,A
การใช้ข้อมูลจำลองใน prototype มีประโยชน์อย่างไร,ทำให้ใช้ข้อมูลส่วนบุคคลได้ง่ายขึ้น,ลดความเสี่ยงต่อข้อมูลจริงระหว่างทดลองแนวคิด,ทำให้ไม่ต้องทำ security review,ใช้แทนฐานข้อมูลจริงเสมอ,B
หากผลลัพธ์จาก AI ยังไม่ตรงโจทย์ ควรปรับอย่างไร,ส่งคำสั่งเดิมซ้ำโดยไม่เปลี่ยนอะไร,เพิ่มบริบท ตัวอย่าง และเกณฑ์รับงานที่ชัดเจน,ยกเลิกการตรวจสอบทั้งหมด,ให้ AI เลือก requirement เอง,B
บทบาทของมนุษย์เมื่อใช้ AI Coding Assistant คืออะไร,เป็นผู้รับผิดชอบการตัดสินใจ คุณภาพ และความปลอดภัย,ไม่ต้องตรวจงานอีกต่อไป,ทำหน้าที่กดปุ่มเท่านั้น,ส่งข้อมูลลับให้ AI,A
ข้อใดสะท้อนการสร้างงานแบบ iterative,รอสร้างทุกอย่างจนเสร็จก่อนทดลอง,สร้างส่วนเล็กที่สุดที่ใช้ได้ เก็บ feedback แล้วปรับปรุง,เปลี่ยนเครื่องมือทุกวัน,หลีกเลี่ยงผู้ใช้จริง,B
เมื่อพบ bug จากโค้ดที่ AI สร้าง วิธีที่ดีคืออะไร,บอก AI เพียงว่ามันผิด,แนบ error ขั้นตอนทำซ้ำและผลลัพธ์ที่คาดหวังโดยไม่เผยข้อมูลลับ,ลบ code ทั้งหมดทันที,ปิด log เพื่อไม่ให้เห็นปัญหา,B
ก่อนส่งมอบงานที่มี AI ช่วยพัฒนา สิ่งใดต้องยืนยัน,โค้ดดูซับซ้อนเพียงพอ,การทำงาน ความปลอดภัย และเกณฑ์รับงานผ่านจริง,AI ตอบเร็วมาก,ใช้คำศัพท์เทคนิคจำนวนมาก,B
